query_id	corpus_id	score
q4a9ffea6	d4a9fff3c	1
q4aa001f8	d4aa00266	1
q4aa013c8	d4aa01440	1
q4aa01b02	d4aa01b7a	1
q4aa01e4a	d4aa01ecc	1
q4aa049ba	d4aa01440	1
q4aa04c12	d4aa04cc6	1
q4aa05284	d4aa05306	1
q4aa055e0	d4aa05662	1
q4aa05fa4	d4aa06030	1
q4aa061ca	d4aa06274	1
q4aa06710	d4aa067ba	1
q4aa06af8	d4aa06b84	1
q4aa0767e	d4aa07714	1
q4aa078fe	d4aa079c6	1
q4aa07c0a	d4aa06b84	1
q4aa07f02	d4aa04e60	1
q4aa0818c	d4aa0822c	1
q4aa0843e	d4aa084de	1
q4aa089e8	d4aa08ad8	1
q4aa0a48c	d4aa0a52c	1
q4aa0a928	d4aa0a9e6	1
q4aa0aafe	d4aa0abd0	1
q4aa0b116	d4aa0b1f2	1
q4aa0b634	d4aa0b6fc	1
q4aa0d862	d4aa0d92a	1
q4aa0dd62	d4aa10314	1
q4aa11264	d4aa113f4	1
q4aa175b0	d4aa18744	1
q4aa1b5ac	d4aa1b854	1
