query_id	corpus_id	score
q8112818c	d81128272	1
q8112818c	d811282cc	1
q8112818c	d81128380	1
q8112818c	d811283ee	1
q8112818c	d81128434	1
q8112818c	d81128470	1
q8112818c	d811284de	1
q8115b172	d8115b2c6	1
q8115b172	d8115b370	1
q8115b172	d8115b3e8	1
q81190e80	d81139356	1
q81190e80	d811393e2	1
q81190e80	d81139478	1
q81190e80	d811394dc	1
q811c3614	d811c3808	1
q811d0d0a	d811d0e9a	1
q811d0d0a	d811d0ef4	1
q811d0d0a	d811d1048	1
q811e915c	d811e9382	1
q811e915c	d811e944a	1
q811fbd20	d811fbece	1
q811fbd20	d811fbf64	1
q811fbd20	d811fbfc8	1
q811fbd20	d811fc02c	1
q81232230	d812324e2	1
q81232230	d812325d2	1
q81232230	d812326ea	1
q81243044	d8124317a	1
q81243044	d8124326a	1
q81243044	d8124330a	1
q81243044	d812433b4	1
q8125caf8	d8125cc60	1
q8125caf8	d8125cce2	1
q8125caf8	d8125cd28	1
q8125caf8	d8125cd82	1
q8125caf8	d8125cdc8	1
q8125caf8	d8125ce0e	1
q81284e90	d811c3808	1
q812de33c	d812de404	1
q812de33c	d812de468	1
q812de33c	d812de4cc	1
q812de33c	d812de512	1
q812de33c	d812de580	1
q812de33c	d812de5d0	1
q812de33c	d812de616	1
q813a3eca	d813a3fec	1
q813a3eca	d813a40b4	1
q813a3eca	d813a4104	1
q813a3eca	d813a41c2	1
q813b8c26	d813b8dac	1
q813b8c26	d813b8e42	1
q813b8c26	d813b8eb0	1
q813b8c26	d813b8f00	1
q813b8c26	d813b8f64	1
q813b8c26	d813b8ffa	1
q813b8c26	d813b9086	1
q813e06ae	d813cd1d0	1
q813e06ae	d813cd23e	1
q813e06ae	d813cd298	1
q813e06ae	d813cd306	1
q813e06ae	d813cd34c	1
q813e06ae	d813cd3f6	1
q8144794e	d81447a3e	1
q8144794e	d81447ac0	1
q8144794e	d81447b6a	1
q8144794e	d81447bb0	1
q8144794e	d81447c00	1
q8144794e	d81447c5a	1
q8145201a	d81452196	1
q8145201a	d81452222	1
q814a38fc	d814a3a0a	1
q814a38fc	d814a3aa0	1
q814a38fc	d814a3b68	1
q815113e8	d815115be	1
q815113e8	d8151164a	1
q815113e8	d8151169a	1
q815113e8	d815116fe	1
q815113e8	d81511794	1
q815113e8	d81511816	1
q8157d8d6	d8157da48	1
q8157d8d6	d8157dae8	1
q8157d8d6	d8157db2e	1
q8157d8d6	d8157dbe2	1
q8157d8d6	d8157dc32	1
q8157d8d6	d8157dce6	1
q815893ca	d81589514	1
q815893ca	d815895aa	1
q815893ca	d81589636	1
q815893ca	d81589686	1
q815b4e3a	d815b4fd4	1
q815b4e3a	d815b510a	1
q815b4e3a	d815b556a	1
q815c4f74	d815c50d2	1
q815c4f74	d815c514a	1
q815c4f74	d815c51b8	1
q815c4f74	d815c529e	1
q815e5a4e	d815e5b7a	1
q815e5a4e	d815e5bfc	1
q815e5a4e	d815e5c7e	1
q81673f24	d813b8dac	1
q81673f24	d813b8e42	1
q81673f24	d813b8eb0	1
q81673f24	d813b8f00	1
q81673f24	d813b8f64	1
