query_id	corpus_id	score
q6164fd5e	d6164fd9a	1
q616501f0	d61650236	1
q616504de	d61650524	1
q616507d6	d61650830	1
q616516e0	d61651758	1
q616521a8	d616521f8	1
q616522de	d616515c8	1
q616523c4	d6165241e	1
q616524dc	d61652536	1
q616526bc	d6165270c	1
q61652a68	d61652ad6	1
q61652c3e	d61652c8e	1
q61653486	d616534ea	1
q61653594	d616535da	1
q616536b6	d616536fc	1
q61653cb0	d61653d14	1
q61653dfa	d61653e4a	1
q61653f4e	d61653f9e	1
q6165408e	d616540de	1
q6165434a	d6165439a	1
q6165475a	d616547b4	1
q61654d18	d61654d5e	1
q61654f98	d61654fe8	1
q616550f6	d61655132	1
q6165539e	d616553ee	1
q616560fa	d61656168	1
q61656370	d616556b4	1
q61656cb2	d61656ce4	1
q61656f6e	d61656fc8	1
q616570e0	d61657130	1
q61657216	d6165725c	1
q61657324	d6165737e	1
q616574a0	d61650380	1
q616575f4	d61657626	1
q6165770c	d6165525e	1
q61657c52	d61657cac	1
q61657d88	d61657de2	1
q61658062	d616580b2	1
q61658396	d616583e6	1
q616586ca	d61658738	1
q61658814	d61658864	1
q61659908	d6165996c	1
q61659dae	d61651bfe	1
q6165a178	d61651906	1
q6165a682	d6165a6dc	1
q6165a880	d6165a8e4	1
q6165aa10	d6165aa4c	1
q6165b0c8	d6165b10e	1
q6165b1fe	d6165b23a	1
q6165c086	d6165c0e0	1
q6165c202	d6165c25c	1
q6165c5f4	d6165c626	1
q6165c7c0	d6165c82e	1
q6165cda6	d6165cdec	1
q6165d76a	d6165d7a6	1
q6165d8a0	d6165d8fa	1
q6165dea4	d6165defe	1
q6165e1f6	d6165e23c	1
q6165e610	d6165e656	1
q6165ef02	d6165ef8e	1
q6165f47a	d6165a36c	1
q6165f592	d6165f5ec	1
q6165f6d2	d6165f736	1
q6165face	d6165fb0a	1
q6165ff74	d6165853a	1
q6166035c	d6166041a	1
q616604ec	d61654fe8	1
q61661702	d61661752	1
q61661982	d616619d2	1
q61662bb6	d6165c3a6	1
q61662dc8	d61662e22	1
q61662ef4	d61662f44	1
q61663188	d616631ec	1
q616633ea	d6165a042	1
q616637b4	d61660dfc	1
q61663a2a	d61663a84	1
q61663b9c	d61663bec	1
q61664d6c	d6165ec6e	1
q61664fc4	d6166500a	1
q61665122	d61651f82	1
q6166564a	d6165c9a0	1
q6166596a	d6164f9bc	1
q61666040	d61654976	1
q61666c52	d6166579e	1
q61666f9a	d61656ce4	1
q6166708a	d616670e4	1
q616674c2	d6166751c	1
q616679fe	d61667a3a	1
q61667c92	d61667ce2	1
q61667f8a	d6165cc84	1
q61668606	d61668660	1
q61668fa2	d6165525e	1
q616692fe	d61659f02	1
q61669632	d61669682	1
q61669eac	d61669efc	1
q6166a550	d6166a5d2	1
q6166ad98	d6166ade8	1
q6166b266	d6166b2c0	1
q6166b3ba	d6164fd9a	1
q6166ba0e	d6166ba4a	1
q6166bc34	d6166bc7a	1
q6166c03a	d6166c08a	1
q6166c63e	d6166c67a	1
q6166c882	d6166c8e6	1
q6166ce54	d6166cea4	1
q6166d390	d61663dfe	1
q6166e240	d6166e29a	1
q6166e3bc	d616687c8	1
q6166e79a	d6165899a	1
q6166e89e	d6166e8e4	1
q6166e9d4	d616668f6	1
q6166f276	d6166ade8	1
q6166f38e	d6166f3e8	1
q6166f5c8	d6166f622	1
q6166f730	d61658206	1
q6166fa8c	d6166fae6	1
q6166fbae	d6166fc08	1
q61670090	d6166eb32	1
q61670f40	d61670f9a	1
q616715e4	d6166288c	1
q616717ba	d6166a47e	1
q61671ce2	d61667648	1
q61671fa8	d61659156	1
q61672228	d616606d6	1
q61672796	d6165b8c0	1
q6167287c	d6165fd12	1
q61672a5c	d6166c440	1
q61672b88	d6165a042	1
q61672e9e	d61672ef8	1
q616731e6	d61662094	1
q616733d0	d61670572	1
q616738bc	d61673916	1
q61673a1a	d61650524	1
q61673b50	d6166d174	1
q61673c68	d61673cb8	1
q61673d94	d61673dee	1
q61674302	d61660f64	1
q61674992	d616749e2	1
