query_id	corpus_id	score
q1a711272	d1a711510	1
q1a711416	d1a711510	1
q1a71177c	d1a7118d0	1
q1a711812	d1a7118d0	1
q1a711b3c	d1a711c7c	1
q1a711b6e	d1a711c7c	1
q1a711c04	d1a711c7c	1
q1a711e7a	d1a711fd8	1
q1a711eac	d1a711fd8	1
q1a7121fe	d1a7122a8	1
q1a712230	d1a7122a8	1
q1a7123e8	d1a712532	1
q1a71242e	d1a712532	1
q1a7126e0	d1a7127d0	1
q1a712a14	d1a712ba4	1
q1a712adc	d1a712ba4	1
q1a712e10	d1a712ec4	1
q1a712e6a	d1a712ec4	1
q1a71313a	d1a7131e4	1
q1a713752	d1a7138d8	1
q1a713784	d1a7138d8	1
q1a713810	d1a7138d8	1
q1a713b58	d1a713c66	1
q1a713df6	d1a713f36	1
q1a713e82	d1a713f36	1
q1a713eaa	d1a713f36	1
q1a71412a	d1a714224	1
q1a71415c	d1a714224	1
q1a71418e	d1a714224	1
q1a71447c	d1a71456c	1
q1a7144d6	d1a71456c	1
q1a714684	d1a71479c	1
q1a7146ac	d1a71479c	1
q1a714706	d1a71479c	1
q1a714760	d1a71479c	1
q1a714986	d1a714a58	1
q1a714a12	d1a714a58	1
q1a714c74	d1a714cd8	1
q1a714e54	d1a714f9e	1
q1a714ee0	d1a714f9e	1
q1a714f3a	d1a714f9e	1
q1a7151c4	d1a715322	1
q1a71555c	d1a7155e8	1
q1a715728	d1a715854	1
q1a7157be	d1a715854	1
q1a71598a	d1a715a70	1
q1a715d04	d1a715e30	1
q1a715d90	d1a715e30	1
q1a7161a0	d1a7161fa	1
q1a71631c	d1a716452	1
q1a71683a	d1a7169c0	1
q1a716966	d1a7169c0	1
q1a716b64	d1a716c9a	1
q1a716bc8	d1a716c9a	1
q1a716bf0	d1a716c9a	1
q1a716c22	d1a716c9a	1
q1a716eb6	d1a717032	1
q1a7171f4	d1a71726c	1
q1a71721c	d1a71726c	1
q1a717686	d1a7177a8	1
q1a7178d4	d1a7179c4	1
q1a717b0e	d1a717c44	1
q1a717b40	d1a717c44	1
q1a717b9a	d1a717c44	1
q1a717bf4	d1a717c44	1
q1a717d70	d1a717e60	1
q1a717da2	d1a717e60	1
q1a717ffa	d1a718108	1
q1a71828e	d1a7183ce	1
q1a7182f2	d1a7183ce	1
q1a71834c	d1a7183ce	1
q1a71837e	d1a7183ce	1
q1a718680	d1a7187f2	1
q1a718946	d1a718a36	1
q1a7189fa	d1a718a36	1
q1a718c0c	d1a718d56	1
q1a718c3e	d1a718d56	1
q1a719012	d1a719184	1
q1a71909e	d1a719184	1
q1a7190d0	d1a719184	1
q1a7190f8	d1a719184	1
q1a719314	d1a719490	1
q1a7193d2	d1a719490	1
q1a71965c	d1a719738	1
q1a71986e	d1a719972	1
q1a719896	d1a719972	1
q1a7198c8	d1a719972	1
q1a7198fa	d1a719972	1
q1a719922	d1a719972	1
q1a719c24	d1a719d6e	1
q1a719c4c	d1a719d6e	1
q1a719d14	d1a719d6e	1
q1a71a3a4	d1a71a4e4	1
q1a71a476	d1a71a4e4	1
q1a71a4a8	d1a71a4e4	1
q1a71a61a	d1a71a764	1
q1a71a674	d1a71a764	1
q1a71a6c4	d1a71a764	1
q1a71a8fe	d1a71a9bc	1
q1a71ada4	d1a71aebc	1
q1a71add6	d1a71aebc	1
q1a71b10a	d1a71b272	1
q1a71b13c	d1a71b272	1
q1a71b1a0	d1a71b272	1
q1a71b1c8	d1a71b272	1
q1a71b1fa	d1a71b272	1
q1a71b56a	d1a71b628	1
q1a71ba74	d1a71bb78	1
q1a71bd12	d1a71be0c	1
q1a71bd44	d1a71be0c	1
q1a71bdd0	d1a71be0c	1
q1a71bf92	d1a71c082	1
q1a71bfec	d1a71c082	1
q1a71c046	d1a71c082	1
q1a71c960	d1a71ca46	1
q1a71c9ba	d1a71ca46	1
q1a71cb72	d1a71cca8	1
q1a71cc30	d1a71cca8	1
q1a71d16c	d1a71d310	1
q1a71d19e	d1a71d310	1
