query_id	corpus_id	score
qd496cb6e	dd496cbc8	1
qd496d118	dd496d15e	1
qd496d2b2	dd496d30c	1
qd496d8f2	dd496d938	1
qd496dc08	dd496dc80	1
qd496dd84	dd496ddd4	1
qd496e374	dd496e3c4	1
qd496eb76	dd496ebc6	1
qd496ee8c	dd496eee6	1
qd496efe0	dd496f026	1
qd496f102	dd496f152	1
qd496f2b0	dd496f2ec	1
qd497019c	dd496daaa	1
qd49704da	dd4970516	1
qd4970778	dd49707dc	1
qd49708fe	dd4970944	1
qd497214a	dd4972226	1
qd49730fe	dd497314e	1
qd4973946	dd4973a2c	1
qd49741b6	dd49741fc	1
qd4974bca	dd496e3c4	1
qd49754ee	dd4970aa2	1
qd497562e	dd497567e	1
qd497596c	dd49759bc	1
qd4975be2	dd4975c1e	1
qd4975cf0	dd4975d4a	1
qd4975e44	dd4975e94	1
qd4975fb6	dd4976010	1
qd497611e	dd496ca2e	1
qd49763a8	dd49763da	1
qd49768da	dd497692a	1
qd4976b96	dd4971510	1
qd4976fc4	dd4976a9c	1
qd4977e06	dd49713c6	1
qd49781b2	dd49781f8	1
qd4978306	dd497774e	1
qd4978d1a	dd496c81c	1
qd497977e	dd49797ec	1
qd4979db4	dd4979e04	1
qd497a26e	dd497a2c8	1
qd497a926	dd497a976	1
qd497ac6e	dd497a3f4	1
qd497b11e	dd497b164	1
qd497bbdc	dd496f5c6	1
qd497bde4	dd497be3e	1
qd497cd70	dd497cdca	1
qd497cff0	dd497d036	1
qd497d964	dd49763da	1
qd497da68	dd497da9a	1
qd497ddba	dd497de0a	1
qd497dedc	dd497aec6	1
qd497e878	dd4976682	1
qd497e9a4	dd4975d4a	1
qd497ec92	dd497d298	1
qd497ed64	dd497edaa	1
qd497ef44	dd4970098	1
qd497f2fa	dd497f354	1
qd497f46c	dd497774e	1
qd497f9bc	dd497b9d4	1
qd497fade	dd497fb38	1
qd497ffde	dd497be3e	1
qd4980326	dd4980376	1
qd49805a6	dd4979e04	1
qd49806fa	dd4980772	1
qd4980a06	dd4980a42	1
qd4980b0a	dd497c06e	1
qd4980c18	dd4980c68	1
qd4980d76	dd4980dd0	1
qd4981640	dd49816a4	1
qd4981a46	dd496f2ec	1
qd4981e6a	dd496e554	1
qd4982112	dd4982158	1
qd4982a22	dd4982158	1
qd4982c20	dd4970318	1
qd4983918	dd497340a	1
qd4983fc6	dd4984020	1
qd4984214	dd497e602	1
qd4984304	dd497a67e	1
qd4984476	dd49753cc	1
qd498458e	dd497477e	1
qd4984912	dd4984962	1
qd4985312	dd496d5d2	1
qd498540c	dd4985452	1
qd49859fc	dd49816a4	1
qd4985b64	dd4982158	1
qd498664a	dd4980c68	1
qd4986b4a	dd496e8ec	1
qd4987018	dd49870ae	1
qd4987266	dd49872ac	1
qd4987d7e	dd4981082	1
qd4987eb4	dd4987f04	1
qd4987fcc	dd4988030	1
qd49885da	dd4974620	1
qd49886d4	dd497fb38	1
qd498885a	dd4976808	1
qd4988954	dd49889a4	1
qd49892dc	dd496daaa	1
qd49893e0	dd49889a4	1
qd4989c8c	dd496e8ec	1
qd498a218	dd4988c1a	1
qd498a97a	dd4970944	1
qd498aace	dd497e274	1
qd498abe6	dd49736c6	1
qd498be10	dd4985fd8	1
qd498bf64	dd498a524	1
qd498c090	dd498c0cc	1
qd498c194	dd496ebc6	1
qd498c2de	dd498c338	1
qd498ca04	dd496c81c	1
qd498cc2a	dd497ad9a	1
qd498ce96	dd498cefa	1
qd498cfd6	dd498d03a	1
qd498d21a	dd496fc06	1
qd498d30a	dd4979094	1
qd498d422	dd4985452	1
qd498d6fc	dd496fd78	1
qd498da94	dd498315c	1
qd498dbb6	dd498655a	1
qd498dcd8	dd4975e94	1
qd498e660	dd49827d4	1
qd498e9f8	dd496d5d2	1
qd498eb10	dd496f5c6	1
qd498ed9a	dd4979e04	1
qd498efb6	dd49781f8	1
qd498f394	dd497ff02	1
qd498fe8e	dd4970516	1
